Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2212.34it/s]
[load] 15.13 GB
Fetching 13 files:   0%|          | 0/13 [00:00<?, ?it/s]Fetching 13 files: 100%|██████████| 13/13 [00:00<00:00, 1995.39it/s]
[load] 5.04 GB
  math500 10/100: 10 ok
  math500 20/100: 18 ok
  math500 30/100: 24 ok
  math500 40/100: 33 ok
  math500 50/100: 36 ok
  math500 60/100: 41 ok
  math500 70/100: 43 ok
  math500 80/100: 45 ok
  math500 90/100: 48 ok
  math500 100/100: 52 ok
[math500] 52/100 = 52%
  mbpp 10/100: 4 ok
  mbpp 20/100: 9 ok
  mbpp 30/100: 18 ok
  mbpp 40/100: 27 ok
  mbpp 50/100: 35 ok
  mbpp 60/100: 42 ok
  mbpp 70/100: 49 ok
  mbpp 80/100: 55 ok
  mbpp 90/100: 61 ok
  mbpp 100/100: 69 ok
[mbpp] 69/100 = 69%
[mem] peak 6.17 GB
Fetching 13 files:   0%|          | 0/13 [00:00<?, ?it/s]Fetching 13 files: 100%|██████████| 13/13 [00:00<00:00, 2049.23it/s]
[load] 5.04 GB
  mmlu 50/500: 40 ok
  mmlu 100/500: 76 ok
  mmlu 150/500: 115 ok
  mmlu 200/500: 157 ok
  mmlu 250/500: 194 ok
  mmlu 300/500: 231 ok
  mmlu 350/500: 271 ok
  mmlu 400/500: 309 ok
  mmlu 450/500: 346 ok
  mmlu 500/500: 386 ok
[mmlu] 386/500 = 77%
  lambada 100/500: 71 ok
  lambada 200/500: 137 ok
  lambada 300/500: 201 ok
  lambada 400/500: 273 ok
  lambada 500/500: 348 ok
[lambada] 348/500 = 70%
[mem] peak 5.93 GB
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 1972.04it/s]
[load] 5.24 GB
  math500 10/100: 10 ok
  math500 20/100: 20 ok
  math500 30/100: 27 ok
  math500 40/100: 37 ok
  math500 50/100: 45 ok
  math500 60/100: 51 ok
  math500 70/100: 59 ok
  math500 80/100: 64 ok
  math500 90/100: 71 ok
  math500 100/100: 77 ok
[math500] 77/100 = 77%
  mbpp 10/100: 4 ok
  mbpp 20/100: 11 ok
  mbpp 30/100: 20 ok
  mbpp 40/100: 27 ok
  mbpp 50/100: 36 ok
  mbpp 60/100: 44 ok
  mbpp 70/100: 52 ok
  mbpp 80/100: 59 ok
  mbpp 90/100: 66 ok
  mbpp 100/100: 74 ok
[mbpp] 74/100 = 74%
[mem] peak 5.97 GB
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 1832.55it/s]
[load] 5.24 GB
  mmlu 50/500: 34 ok
  mmlu 100/500: 67 ok
  mmlu 150/500: 100 ok
  mmlu 200/500: 136 ok
  mmlu 250/500: 171 ok
  mmlu 300/500: 208 ok
  mmlu 350/500: 247 ok
  mmlu 400/500: 281 ok
  mmlu 450/500: 317 ok
  mmlu 500/500: 352 ok
[mmlu] 352/500 = 70%
  lambada 100/500: 72 ok
  lambada 200/500: 141 ok
  lambada 300/500: 211 ok
  lambada 400/500: 277 ok
  lambada 500/500: 349 ok
[lambada] 349/500 = 70%
[mem] peak 5.91 GB
Fetching 14 files:   0%|          | 0/14 [00:00<?, ?it/s]Fetching 14 files: 100%|██████████| 14/14 [00:00<00:00, 2120.25it/s]
[transformers] This model config has set a `rope_parameters['original_max_position_embeddings']` field, to be used together with `max_position_embeddings` to determine a scaling factor. Please set the `factor` field of `rope_parameters`with this ratio instead -- we recommend the use of this field over `original_max_position_embeddings`, as it is compatible with most model architectures.
[load] 2.16 GB
  math500 10/100: 7 ok
  math500 20/100: 16 ok
  math500 30/100: 23 ok
  math500 40/100: 27 ok
  math500 50/100: 32 ok
  math500 60/100: 38 ok
  math500 70/100: 41 ok
  math500 80/100: 42 ok
  math500 90/100: 43 ok
  math500 100/100: 48 ok
[math500] 48/100 = 48%
  mbpp 10/100: 4 ok
  mbpp 20/100: 10 ok
  mbpp 30/100: 15 ok
  mbpp 40/100: 20 ok
